sepal_length,sepal_width,petal_length,petal_width,species,Notes
5.2,4.1,1.5,0.1,Iris-setosa,5.24.11.50.1Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa,5.54.21.40.2Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,4.93.11.50.1Iris-setosa
5,3.2,1.2,0.2,Iris-setosa,53.21.20.2Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa,5.53.51.30.2Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa,4.93.11.50.1Iris-setosa
4.4,3,1.3,0.2,Iris-setosa,4.431.30.2Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa,5.13.41.50.2Iris-setosa
5,3.5,1.3,0.3,Iris-setosa,53.51.30.3Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa,4.52.31.30.3Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa,4.43.21.30.2Iris-setosa
5,3.5,1.6,0.6,Iris-setosa,53.51.60.6Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa,5.13.81.90.4Iris-setosa
4.8,3,1.4,0.3,Iris-setosa,4.831.40.3Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa,5.13.81.60.2Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa,4.63.21.40.2Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa,5.33.71.50.2Iris-setosa
5,3.3,1.4,0.2,Iris-setosa,53.31.40.2Iris-setosa
7,3.2,4.7,1.4,Iris-versicolor,73.24.71.4Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor,6.43.24.51.5Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor,6.93.14.91.5Iris-versicolor
5.5,2.3,4,1.3,Iris-versicolor,5.52.341.3Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor,6.52.84.61.5Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor,5.72.84.51.3Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor,6.33.34.71.6Iris-versicolor
4.9,2.4,3.3,1,Iris-versicolor,4.92.43.31Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor,6.62.94.61.3Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor,5.22.73.91.4Iris-versicolor
5,2,3.5,1,Iris-versicolor,523.51Iris-versicolor
5.9,3,4.2,1.5,Iris-versicolor,5.934.21.5Iris-versicolor
6,2.2,4,1,Iris-versicolor,62.241Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor,6.12.94.71.4Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor,5.62.93.61.3Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor,6.73.14.41.4Iris-versicolor
5.6,3,4.5,1.5,Iris-versicolor,5.634.51.5Iris-versicolor
5.8,2.7,4.1,1,Iris-versicolor,5.82.74.11Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor,6.22.24.51.5Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor,5.62.53.91.1Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor,5.93.24.81.8Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor,6.12.841.3Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor,6.32.54.91.5Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor,6.12.84.71.2Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor,6.42.94.31.3Iris-versicolor
6.6,3,4.4,1.4,Iris-versicolor,6.634.41.4Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor,6.82.84.81.4Iris-versicolor
6.7,3,5,1.7,Iris-versicolor,6.7351.7Iris-versicolor
6,2.9,4.5,1.5,Iris-versicolor,62.94.51.5Iris-versicolor
5.7,2.6,3.5,1,Iris-versicolor,5.72.63.51Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor,5.52.43.81.1Iris-versicolor
5.5,2.4,3.7,1,Iris-versicolor,5.52.43.71Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor,5.82.73.91.2Iris-versicolor
6,2.7,5.1,1.6,Iris-versicolor,62.75.11.6Iris-versicolor
5.4,3,4.5,1.5,Iris-versicolor,5.434.51.5Iris-versicolor
6,3.4,4.5,1.6,Iris-versicolor,63.44.51.6Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor,6.73.14.71.5Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor,6.32.34.41.3Iris-versicolor
5.6,3,4.1,1.3,Iris-versicolor,5.634.11.3Iris-versicolor
5.5,2.5,4,1.3,Iris-versicolor,5.52.541.3Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor,5.52.64.41.2Iris-versicolor
6.1,3,4.6,1.4,Iris-versicolor,6.134.61.4Iris-versicolor
5.8,2.6,4,1.2,Iris-versicolor,5.82.641.2Iris-versicolor
5,2.3,3.3,1,Iris-versicolor,52.33.31Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor,5.62.74.21.3Iris-versicolor
5.7,3,4.2,1.2,Iris-versicolor,5.734.21.2Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor,5.72.94.21.3Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor,6.22.94.31.3Iris-versicolor
5.1,2.5,3,1.1,Iris-versicolor,5.12.531.1Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor,5.72.84.11.3Iris-versicolor
6.3,3.3,6,2.5,Iris-virginica,6.33.362.5Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica,5.82.75.11.9Iris-virginica
7.1,3,5.9,2.1,Iris-virginica,7.135.92.1Iris-virginica
6.3,2.9,5.6,1.8,Iris-virginica,6.32.95.61.8Iris-virginica
6.5,3,5.8,2.2,Iris-virginica,6.535.82.2Iris-virginica
7.6,3,6.6,2.1,Iris-virginica,7.636.62.1Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica,4.92.54.51.7Iris-virginica
7.3,2.9,6.3,1.8,Iris-virginica,7.32.96.31.8Iris-virginica
6.7,2.5,5.8,1.8,Iris-virginica,6.72.55.81.8Iris-virginica
7.2,3.6,6.1,2.5,Iris-virginica,7.23.66.12.5Iris-virginica
6.5,3.2,5.1,2,Iris-virginica,6.53.25.12Iris-virginica
6.4,2.7,5.3,1.9,Iris-virginica,6.42.75.31.9Iris-virginica
6.8,3,5.5,2.1,Iris-virginica,6.835.52.1Iris-virginica
5.7,2.5,5,2,Iris-virginica,5.72.552Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica,5.82.85.12.4Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica,6.43.25.32.3Iris-virginica
6.5,3,5.5,1.8,Iris-virginica,6.535.51.8Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica,7.73.86.72.2Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica,7.72.66.92.3Iris-virginica
6,2.2,5,1.5,Iris-virginica,62.251.5Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica,6.93.25.72.3Iris-virginica
5.6,2.8,4.9,2,Iris-virginica,5.62.84.92Iris-virginica
7.7,2.8,6.7,2,Iris-virginica,7.72.86.72Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica,6.32.74.91.8Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica,6.73.35.72.1Iris-virginica
7.2,3.2,6,1.8,Iris-virginica,7.23.261.8Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica,6.22.84.81.8Iris-virginica
6.1,3,4.9,1.8,Iris-virginica,6.134.91.8Iris-virginica
6.4,2.8,5.6,2.1,Iris-virginica,6.42.85.62.1Iris-virginica
7.2,3,5.8,1.6,Iris-virginica,7.235.81.6Iris-virginica
7.4,2.8,6.1,1.9,Iris-virginica,7.42.86.11.9Iris-virginica
7.9,3.8,6.4,2,Iris-virginica,7.93.86.42Iris-virginica
6.4,2.8,5.6,2.2,Iris-virginica,6.42.85.62.2Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica,6.32.85.11.5Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica,6.12.65.61.4Iris-virginica
7.7,3,6.1,2.3,Iris-virginica,7.736.12.3Iris-virginica
6.3,3.4,5.6,2.4,Iris-virginica,6.33.45.62.4Iris-virginica
6.4,3.1,5.5,1.8,Iris-virginica,6.43.15.51.8Iris-virginica
6,3,4.8,1.8,Iris-virginica,634.81.8Iris-virginica
6.9,3.1,5.4,2.1,Iris-virginica,6.93.15.42.1Iris-virginica
6.7,3.1,5.6,2.4,Iris-virginica,6.73.15.62.4Iris-virginica
6.9,3.1,5.1,2.3,Iris-virginica,6.93.15.12.3Iris-virginica
5.8,2.7,5.1,1.9,Iris-virginica,5.82.75.11.9Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica,6.83.25.92.3Iris-virginica
6.7,3.3,5.7,2.5,Iris-virginica,6.73.35.72.5Iris-virginica
6.7,3,5.2,2.3,Iris-virginica,6.735.22.3Iris-virginica
6.3,2.5,5,1.9,Iris-virginica,6.32.551.9Iris-virginica
6.5,3,5.2,2,Iris-virginica,6.535.22Iris-virginica
6.2,3.4,5.4,2.3,Iris-virginica,6.23.45.42.3Iris-virginica
5.9,3,5.1,1.8,Iris-virginica,5.935.11.8Iris-virginica
